id,territorial,fecha_acc,dia_semana_acc,condic_meteor,estado_super,terreno,geometria_acc,tipo_cierre,n_heridos,n_muertos,clase_accidente,hora_acc
2891,Cundinamarca,2017-11-05,domingo,Seca,Seca y limpia,Ondulado,Curva Derecha,Transito normal con precaución,0,0,Choque,100.0
2892,Cundinamarca,2017-11-07,martes,Seca,Seca y limpia,Ondulado,Recta,Transito normal con precaución,3,0,Salida de la vía sin volcarse,100.0
2893,Cundinamarca,2017-11-08,miercoles,Seca,Seca y limpia,Ondulado,Recta,Transito normal con precaución,0,0,Choque,100.0
2894,Cundinamarca,2017-11-09,jueves,Lluvia,Humeda,Ondulado,Curva Izquierda,Transito normal con precaución,0,0,Choque,100.0
2895,Cundinamarca,2017-11-11,sabado,Lluvia,Humeda,Ondulado,Curva Derecha,Transito normal con precaución,1,2,Choque,100.0
2896,Cundinamarca,2017-11-11,sabado,Lluvia,Humeda,Ondulado,Curva Izquierda,Transito normal con precaución,0,0,Choque,100.0
2897,Cundinamarca,2017-11-12,domingo,Seca,Seca y limpia,Ondulado,Curva Izquierda,Transito normal con precaución,0,0,Choque,100.0
2898,Cundinamarca,2017-11-18,sabado,Lluvia,Humeda,Ondulado,Recta,Transito normal con precaución,0,0,Choque,100.0
2899,Cundinamarca,2017-11-23,jueves,Seca,Seca y limpia,Ondulado,Curva Derecha,Transito normal con precaución,0,0,Choque,100.0
2900,Cundinamarca,2017-11-26,domingo,Seca,Seca y limpia,Ondulado,Curva Izquierda,Transito normal con precaución,1,0,Choque,100.0
2901,Cundinamarca,2017-12-01,viernes,Seca,Seca y limpia,Ondulado,Curva Izquierda,Parcial con reducción de carriles,1,0,Choque,100.0
2902,Cundinamarca,2017-12-02,sabado,Seca,Seca y limpia,Ondulado,Curva Derecha,Transito normal con precaución,0,0,Choque,100.0
2903,Cundinamarca,2017-12-11,lunes,Seca,Seca y limpia,Ondulado,Recta,Transito normal con precaución,0,0,Choque,100.0
2904,Cundinamarca,2017-12-25,lunes,Seca,Seca y limpia,Ondulado,Curva Derecha,Transito normal con precaución,0,0,Choque,100.0
2905,Cundinamarca,2017-12-27,miercoles,Lluvia,Humeda,Ondulado,Curva Izquierda,Transito normal con precaución,0,0,Choque,100.0
2906,Cundinamarca,2017-12-27,miercoles,Lluvia,Humeda,Ondulado,Curva Izquierda,Transito normal con precaución,0,0,Choque,100.0
2907,Cundinamarca,2017-12-29,viernes,Lluvia,Humeda,Ondulado,Recta,Transito normal con precaución,0,0,Choque,100.0
2908,Cundinamarca,2017-12-30,sabado,Seca,Seca y limpia,Ondulado,Recta,Transito normal con precaución,0,0,Choque,100.0
2909,Cundinamarca,2017-12-30,sabado,Seca,Seca y limpia,Ondulado,Recta,Transito normal con precaución,0,0,Choque,100.0
2910,Cundinamarca,2017-12-31,domingo,Seca,Seca y limpia,Ondulado,Recta,Transito normal con precaución,0,0,Choque,100.0
2911,Cundinamarca,2018-01-01,lunes,Lluvia,Humeda,Ondulado,Curva Derecha,Transito normal con precaución,0,0,Choque,100.0
